student,date,coffee_spent,sleep_hours,study_hours,mood,exam
Алексей Смирнов,2024-06-01,450,4.5,12,норм,Математика
Алексей Смирнов,2024-06-02,500,4.0,14,устал,Математика
Алексей Смирнов,2024-06-03,550,3.5,16,зомби,Математика
Дарья Петрова,2024-06-01,200,7.0,6,отл,Математика
Дарья Петрова,2024-06-02,250,6.5,8,норм,Математика
Дарья Петрова,2024-06-03,300,6.0,9,норм,Математика
Иван Кузнецов,2024-06-01,600,3.0,15,зомби,Математика
Иван Кузнецов,2024-06-02,650,2.5,17,зомби,Математика
Иван Кузнецов,2024-06-03,700,2.0,18,не выжил,Математика
Мария Соколова,2024-06-01,100,8.0,3,отл,Математика
Мария Соколова,2024-06-02,120,8.5,2,отл,Математика
Мария Соколова,2024-06-03,150,7.5,4,отл,Математика
Павел Новиков,2024-06-01,380,5.0,10,норм,Математика
Павел Новиков,2024-06-02,420,4.5,11,устал,Математика
Павел Новиков,2024-06-03,470,4.0,13,устал,Математика
Елена Волкова,2024-06-01,280,6.0,8,норм,Математика
Елена Волкова,2024-06-02,310,5.5,9,норм,Математика
Елена Волкова,2024-06-03,340,5.0,10,устал,Математика
Дмитрий Морозов,2024-06-01,520,3.5,14,зомби,Математика
Дмитрий Морозов,2024-06-02,570,3.0,15,зомби,Математика
Дмитрий Морозов,2024-06-03,620,2.5,17,не выжил,Математика
Анна Белова,2024-06-01,180,7.5,5,отл,Математика
Анна Белова,2024-06-02,210,7.0,6,норм,Математика
Анна Белова,2024-06-03,190,8.0,4,отл,Математика
Сергей Козлов,2024-06-01,400,4.0,11,устал,Математика
Сергей Козлов,2024-06-02,440,3.5,12,зомби,Математика
Сергей Козлов,2024-06-03,480,3.0,14,зомби,Математика
Ольга Новикова,2024-06-01,150,8.0,4,отл,Математика
Ольга Новикова,2024-06-02,180,7.5,5,отл,Математика
Ольга Новикова,2024-06-03,200,7.0,6,норм,Математика
Никита Соловьев,2024-06-01,480,4.0,13,устал,Математика
Никита Соловьев,2024-06-02,530,3.5,15,зомби,Математика
Никита Соловьев,2024-06-03,580,3.0,16,зомби,Математика
Татьяна Васильева,2024-06-01,220,7.0,7,норм,Математика
Татьяна Васильева,2024-06-02,250,6.5,8,норм,Математика
Татьяна Васильева,2024-06-03,280,6.0,9,устал,Математика
Артем Григорьев,2024-06-01,350,5.5,9,норм,Математика
Артем Григорьев,2024-06-02,390,5.0,10,устал,Математика
Артем Григорьев,2024-06-03,430,4.5,12,устал,Математика
Виктория Федорова,2024-06-01,120,8.0,3,отл,Математика
Виктория Федорова,2024-06-02,140,8.5,2,отл,Математика
Виктория Федорова,2024-06-03,160,7.5,4,отл,Математика
Михаил Павлов,2024-06-01,500,3.5,15,зомби,Математика
Михаил Павлов,2024-06-02,550,3.0,16,зомби,Математика
Михаил Павлов,2024-06-03,600,2.5,18,не выжил,Математика
