student,date,coffee_spent,sleep_hours,study_hours,mood,exam
Алексей Смирнов,2024-06-11,520,3.5,15,зомби,Программирование
Алексей Смирнов,2024-06-12,580,3.0,17,не выжил,Программирование
Алексей Смирнов,2024-06-13,630,2.5,19,труп,Программирование
Дарья Петрова,2024-06-11,320,6.0,8,устал,Программирование
Дарья Петрова,2024-06-12,360,5.5,9,устал,Программирование
Дарья Петрова,2024-06-13,390,5.0,10,устал,Программирование
Иван Кузнецов,2024-06-11,720,2.0,18,не выжил,Программирование
Иван Кузнецов,2024-06-12,780,1.5,20,труп,Программирование
Иван Кузнецов,2024-06-13,820,1.0,22,легенда,Программирование
Мария Соколова,2024-06-11,140,8.0,3,отл,Программирование
Мария Соколова,2024-06-12,160,8.5,2,отл,Программирование
Мария Соколова,2024-06-13,180,7.5,4,отл,Программирование
Павел Новиков,2024-06-11,450,4.0,12,зомби,Программирование
Павел Новиков,2024-06-12,500,3.5,14,зомби,Программирование
Павел Новиков,2024-06-13,550,3.0,16,не выжил,Программирование
Елена Волкова,2024-06-11,340,5.0,10,устал,Программирование
Елена Волкова,2024-06-12,380,4.5,11,устал,Программирование
Елена Волкова,2024-06-13,420,4.0,13,зомби,Программирование
Дмитрий Морозов,2024-06-11,610,2.5,17,не выжил,Программирование
Дмитрий Морозов,2024-06-12,670,2.0,19,труп,Программирование
Дмитрий Морозов,2024-06-13,720,1.5,21,легенда,Программирование
Анна Белова,2024-06-11,220,7.0,6,норм,Программирование
Анна Белова,2024-06-12,240,6.5,7,норм,Программирование
Анна Белова,2024-06-13,210,7.5,5,отл,Программирование
Сергей Козлов,2024-06-11,470,3.0,14,зомби,Программирование
Сергей Козлов,2024-06-12,520,2.5,16,не выжил,Программирование
Сергей Козлов,2024-06-13,580,2.0,18,труп,Программирование
Ольга Новикова,2024-06-11,190,7.0,6,норм,Программирование
Ольга Новикова,2024-06-12,220,6.5,7,норм,Программирование
Ольга Новикова,2024-06-13,250,6.0,8,устал,Программирование
Никита Соловьев,2024-06-11,550,3.0,16,не выжил,Программирование
Никита Соловьев,2024-06-12,610,2.5,18,труп,Программирование
Никита Соловьев,2024-06-13,670,2.0,20,легенда,Программирование
Татьяна Васильева,2024-06-11,260,6.0,9,устал,Программирование
Татьяна Васильева,2024-06-12,300,5.5,10,устал,Программирование
Татьяна Васильева,2024-06-13,340,5.0,11,устал,Программирование
Артем Григорьев,2024-06-11,420,4.5,12,устал,Программирование
Артем Григорьев,2024-06-12,470,4.0,13,зомби,Программирование
Артем Григорьев,2024-06-13,520,3.5,15,зомби,Программирование
Виктория Федорова,2024-06-11,140,8.0,3,отл,Программирование
Виктория Федорова,2024-06-12,160,8.5,2,отл,Программирование
Виктория Федорова,2024-06-13,180,7.5,4,отл,Программирование
Михаил Павлов,2024-06-11,590,2.5,18,не выжил,Программирование
Михаил Павлов,2024-06-12,650,2.0,20,труп,Программирование
Михаил Павлов,2024-06-13,710,1.5,22,легенда,Программирование
